exposure_id,campaign_id,customer_id,exposed_ts,viewed,clicked_learn_more
E600000,CMP03,C100000,2025-12-05 08:40:00,True,False
E600001,CMP02,C100003,2025-11-20 09:10:00,True,False
E600002,CMP03,C100006,2025-12-05 08:40:00,True,False
E600003,CMP02,C100007,2025-11-20 09:10:00,True,True
E600004,CMP03,C100007,2025-12-05 08:40:00,True,False
E600005,CMP02,C100009,2025-11-20 09:10:00,False,False
E600006,CMP02,C100010,2025-11-20 09:10:00,True,False
E600007,CMP03,C100010,2025-12-05 08:40:00,False,False
E600008,CMP02,C100011,2025-11-20 09:10:00,True,True
E600009,CMP02,C100012,2025-11-20 09:10:00,True,False
E600010,CMP01,C100013,2025-11-01 07:10:00,True,True
E600011,CMP04,C100013,2025-11-24 06:45:00,True,False
E600012,CMP03,C100014,2025-12-05 08:40:00,False,False
E600013,CMP03,C100015,2025-12-05 08:40:00,True,False
E600014,CMP02,C100017,2025-11-20 09:10:00,True,False
E600015,CMP03,C100017,2025-12-05 08:40:00,False,False
E600016,CMP02,C100018,2025-11-20 09:10:00,True,False
E600017,CMP03,C100019,2025-12-05 08:40:00,True,False
E600018,CMP02,C100020,2025-11-20 09:10:00,True,True
E600019,CMP03,C100020,2025-12-05 08:40:00,True,False
E600020,CMP03,C100021,2025-12-05 08:40:00,True,True
E600021,CMP02,C100022,2025-11-20 09:10:00,True,False
E600022,CMP03,C100022,2025-12-05 08:40:00,False,False
E600023,CMP02,C100023,2025-11-20 09:10:00,True,False
E600024,CMP02,C100024,2025-11-20 09:10:00,True,True
E600025,CMP02,C100025,2025-11-20 09:10:00,True,False
E600026,CMP03,C100025,2025-12-05 08:40:00,False,True
E600027,CMP03,C100026,2025-12-05 08:40:00,True,False
E600028,CMP03,C100027,2025-12-05 08:40:00,False,False
E600029,CMP04,C100027,2025-11-24 06:45:00,True,False
E600030,CMP03,C100028,2025-12-05 08:40:00,False,False
E600031,CMP01,C100029,2025-11-01 07:10:00,True,False
E600032,CMP04,C100029,2025-11-24 06:45:00,False,False
E600033,CMP02,C100031,2025-11-20 09:10:00,False,True
E600034,CMP02,C100032,2025-11-20 09:10:00,True,False
E600035,CMP03,C100032,2025-12-05 08:40:00,True,False
E600036,CMP02,C100035,2025-11-20 09:10:00,True,False
E600037,CMP02,C100036,2025-11-20 09:10:00,True,True
E600038,CMP03,C100036,2025-12-05 08:40:00,False,False
E600039,CMP03,C100037,2025-12-05 08:40:00,True,False
E600040,CMP02,C100039,2025-11-20 09:10:00,True,False
E600041,CMP03,C100040,2025-12-05 08:40:00,True,False
E600042,CMP03,C100041,2025-12-05 08:40:00,True,False
E600043,CMP02,C100044,2025-11-20 09:10:00,True,True
E600044,CMP02,C100046,2025-11-20 09:10:00,True,False
E600045,CMP03,C100048,2025-12-05 08:40:00,False,False
E600046,CMP03,C100051,2025-12-05 08:40:00,False,True
E600047,CMP02,C100052,2025-11-20 09:10:00,True,False
E600048,CMP02,C100053,2025-11-20 09:10:00,True,True
E600049,CMP03,C100053,2025-12-05 08:40:00,True,False
E600050,CMP02,C100056,2025-11-20 09:10:00,True,False
E600051,CMP03,C100056,2025-12-05 08:40:00,True,False
E600052,CMP02,C100057,2025-11-20 09:10:00,True,False
E600053,CMP01,C100058,2025-11-01 07:10:00,True,False
E600054,CMP04,C100058,2025-11-24 06:45:00,True,True
E600055,CMP03,C100059,2025-12-05 08:40:00,False,False
E600056,CMP03,C100061,2025-12-05 08:40:00,False,False
E600057,CMP02,C100062,2025-11-20 09:10:00,True,False
E600058,CMP02,C100064,2025-11-20 09:10:00,True,False
E600059,CMP03,C100065,2025-12-05 08:40:00,False,False
E600060,CMP02,C100066,2025-11-20 09:10:00,True,False
E600061,CMP01,C100071,2025-11-01 07:10:00,True,True
E600062,CMP03,C100072,2025-12-05 08:40:00,False,False
E600063,CMP03,C100073,2025-12-05 08:40:00,True,True
E600064,CMP03,C100075,2025-12-05 08:40:00,True,False
E600065,CMP02,C100076,2025-11-20 09:10:00,True,False
E600066,CMP03,C100076,2025-12-05 08:40:00,True,False
E600067,CMP02,C100077,2025-11-20 09:10:00,True,False
E600068,CMP03,C100077,2025-12-05 08:40:00,True,False
E600069,CMP03,C100078,2025-12-05 08:40:00,False,False
E600070,CMP03,C100079,2025-12-05 08:40:00,True,False
E600071,CMP02,C100083,2025-11-20 09:10:00,True,True
E600072,CMP01,C100084,2025-11-01 07:10:00,True,False
E600073,CMP04,C100084,2025-11-24 06:45:00,True,True
E600074,CMP02,C100085,2025-11-20 09:10:00,True,False
E600075,CMP03,C100085,2025-12-05 08:40:00,False,False
E600076,CMP03,C100086,2025-12-05 08:40:00,True,True
E600077,CMP02,C100087,2025-11-20 09:10:00,True,False
E600078,CMP02,C100088,2025-11-20 09:10:00,False,False
E600079,CMP02,C100089,2025-11-20 09:10:00,True,True
E600080,CMP03,C100089,2025-12-05 08:40:00,True,False
E600081,CMP02,C100090,2025-11-20 09:10:00,True,True
E600082,CMP03,C100090,2025-12-05 08:40:00,False,False
E600083,CMP02,C100091,2025-11-20 09:10:00,True,False
E600084,CMP02,C100092,2025-11-20 09:10:00,True,False
E600085,CMP02,C100093,2025-11-20 09:10:00,False,True
