order_id,customer_id,order_ts,order_value,payment_method,is_refunded,is_chargeback,is_fraud_related
O800000,C100000,2025-12-11 20:44:31,19.99,paypal,False,False,False
O800001,C100001,2025-12-07 21:41:03,9.99,credit_card,False,False,False
O800002,C100002,2025-10-27 13:44:39,12.99,credit_card,False,False,False
O800003,C100003,2025-10-15 21:09:25,249.99,paypal,False,False,False
O800004,C100003,2025-11-30 15:14:24,24.99,credit_card,False,False,False
O800005,C100003,2025-11-15 10:47:22,12.99,paypal,False,False,False
O800006,C100003,2025-11-17 09:14:16,12.99,credit_card,False,False,False
O800007,C100004,2025-11-18 09:29:47,79.99,paypal,False,False,False
O800008,C100004,2025-11-08 17:21:26,12.99,debit_card,False,False,False
O800009,C100004,2025-11-16 10:02:25,19.99,credit_card,False,False,False
O800010,C100005,2025-11-28 11:02:51,12.99,credit_card,False,False,False
O800011,C100006,2025-10-31 16:44:53,24.99,credit_card,False,False,False
O800012,C100007,2025-10-29 13:05:09,179.99,credit_card,False,False,False
O800013,C100007,2025-10-18 15:38:19,9.99,credit_card,False,False,False
O800014,C100007,2025-11-14 11:50:02,129.99,debit_card,False,False,False
O800015,C100007,2025-11-26 14:10:24,19.99,debit_card,False,False,False
O800016,C100007,2025-11-11 13:52:34,9.99,debit_card,False,False,False
O800017,C100007,2025-11-21 14:09:46,49.99,credit_card,False,False,False
O800018,C100008,2025-11-13 16:05:43,249.99,credit_card,False,False,False
O800019,C100009,2025-12-05 16:42:51,49.99,credit_card,False,False,False
O800020,C100009,2025-11-21 21:19:55,399.0,credit_card,False,False,False
O800021,C100009,2025-10-23 20:25:29,24.99,paypal,False,False,False
O800022,C100009,2025-10-23 22:25:08,9.99,credit_card,False,False,False
O800023,C100010,2025-10-21 21:38:00,24.99,credit_card,False,False,False
O800024,C100010,2025-11-13 17:19:18,49.99,paypal,False,False,False
O800025,C100010,2025-10-18 13:32:41,49.99,credit_card,False,False,False
O800026,C100011,2025-10-27 16:51:19,19.99,credit_card,False,False,False
O800027,C100011,2025-11-23 13:42:08,24.99,credit_card,False,False,False
O800028,C100011,2025-10-27 14:31:51,9.99,paypal,False,False,False
O800029,C100011,2025-10-29 17:31:32,12.99,credit_card,False,False,False
O800030,C100011,2025-11-05 08:52:52,12.99,credit_card,False,False,False
O800031,C100012,2025-12-13 16:39:05,129.99,debit_card,False,False,False
O800032,C100012,2025-11-08 17:24:49,149.99,debit_card,False,False,False
O800033,C100012,2025-12-12 16:09:32,29.99,credit_card,False,False,False
O800034,C100013,2025-11-26 08:42:20,39.99,debit_card,False,False,False
O800035,C100013,2025-12-08 21:45:32,12.99,credit_card,False,False,False
O800036,C100013,2025-11-18 10:47:14,9.99,credit_card,False,False,False
O800037,C100014,2025-10-15 20:16:17,24.99,credit_card,False,False,False
O800038,C100014,2025-10-17 21:03:56,12.99,credit_card,False,False,False
O800039,C100015,2025-10-24 09:33:20,249.99,credit_card,False,False,False
O800040,C100015,2025-12-01 16:26:02,29.99,credit_card,False,False,False
O800041,C100016,2025-10-19 18:05:52,249.99,debit_card,False,False,False
O800042,C100016,2025-11-23 19:39:57,1499.0,credit_card,False,False,False
O800043,C100017,2025-11-06 14:08:14,149.99,credit_card,False,False,False
O800044,C100017,2025-10-22 15:04:50,24.99,debit_card,False,False,False
O800045,C100018,2025-10-25 21:53:11,19.99,credit_card,False,False,False
O800046,C100018,2025-10-25 10:29:14,99.99,credit_card,False,False,False
O800047,C100019,2025-11-03 20:28:08,149.99,debit_card,True,False,False
O800048,C100019,2025-10-20 22:51:01,29.99,debit_card,False,False,False
O800049,C100019,2025-11-07 19:36:34,19.99,credit_card,True,False,False
O800050,C100020,2025-11-17 19:02:40,9.99,credit_card,False,False,False
O800051,C100020,2025-11-13 21:30:44,24.99,credit_card,False,False,False
O800052,C100021,2025-11-19 18:43:04,19.99,paypal,False,False,False
O800053,C100021,2025-12-14 22:14:44,24.99,credit_card,True,False,False
O800054,C100021,2025-10-24 15:04:51,249.99,credit_card,False,False,False
O800055,C100022,2025-10-22 19:58:28,39.99,debit_card,False,False,False
O800056,C100022,2025-11-06 08:10:22,149.99,paypal,False,False,False
O800057,C100022,2025-10-22 15:48:29,12.99,credit_card,False,False,False
O800058,C100023,2025-10-28 11:34:07,9.99,credit_card,False,False,False
O800059,C100024,2025-10-27 12:36:29,179.99,credit_card,False,False,False
O800060,C100024,2025-10-31 13:20:50,29.99,credit_card,False,False,False
O800061,C100025,2025-11-06 12:23:58,399.0,credit_card,False,False,False
O800062,C100025,2025-11-28 14:07:25,19.99,credit_card,False,False,False
O800063,C100025,2025-11-25 11:25:03,89.99,paypal,False,False,False
O800064,C100025,2025-11-09 21:47:57,49.99,credit_card,False,False,False
