interaction_id,message_id,customer_id,interaction_ts,action_type,device_type,landing_page_domain
I900000,M700001,C100174,2025-11-25 06:53:35,opened,both,
I900001,M700001,C100174,2025-11-25 06:57:35,clicked_link,mobile,shophub-secure-verify.net
I900002,M700002,C100884,2025-11-03 00:46:15,ignored,mobile,
I900003,M700003,C100830,2025-10-31 14:53:15,opened,mobile,
I900004,M700005,C100676,2025-11-28 04:03:56,opened,both,
I900005,M700006,C100253,2025-11-25 20:43:14,ignored,web,
I900006,M700007,C100915,2025-11-24 12:40:35,ignored,both,
I900007,M700008,C100499,2025-10-30 11:07:52,opened,mobile,
I900008,M700009,C100674,2025-11-13 06:11:59,opened,mobile,
I900009,M700009,C100674,2025-11-13 06:17:59,clicked_link,mobile,spoof-shophub-login.com
I900010,M700011,C100045,2025-12-12 15:42:11,opened,mobile,
I900011,M700012,C100808,2025-12-07 17:47:48,ignored,web,
I900012,M700013,C100610,2025-11-08 10:47:32,ignored,both,
I900013,M700015,C100913,2025-11-28 10:04:39,reported_as_phish,mobile,
I900014,M700016,C100802,2025-12-04 07:47:31,opened,mobile,
I900015,M700017,C100909,2025-11-23 10:51:17,ignored,both,
I900016,M700018,C100166,2025-11-04 10:09:40,ignored,web,
I900017,M700019,C100747,2025-11-08 22:39:51,ignored,mobile,
I900018,M700021,C100018,2025-10-25 09:18:11,opened,mobile,
I900019,M700022,C100767,2025-11-09 19:35:28,opened,mobile,
I900020,M700023,C100570,2025-10-28 13:25:03,reported_as_phish,both,
I900021,M700025,C100518,2025-10-18 22:51:04,opened,web,
I900022,M700026,C100815,2025-11-03 08:35:14,ignored,web,
I900023,M700027,C100496,2025-11-06 21:52:45,opened,mobile,
I900024,M700028,C100793,2025-12-13 05:15:49,ignored,mobile,
I900025,M700029,C100183,2025-11-19 08:19:30,opened,mobile,
I900026,M700030,C100742,2025-11-09 18:02:46,opened,both,
I900027,M700031,C100919,2025-11-22 06:17:03,opened,web,
I900028,M700032,C100174,2025-11-19 19:20:56,ignored,mobile,
I900029,M700033,C100681,2025-11-27 19:39:21,ignored,mobile,
I900030,M700034,C100174,2025-11-20 23:36:35,opened,mobile,
I900031,M700036,C100554,2025-11-21 10:37:37,opened,mobile,legit_shophub.com
I900032,M700038,C100430,2025-12-15 16:38:43,ignored,mobile,
I900033,M700039,C100965,2025-12-08 20:29:26,opened,web,
I900034,M700040,C100714,2025-12-03 07:22:48,opened,web,
I900035,M700041,C100159,2025-11-29 07:42:08,opened,mobile,
I900036,M700042,C100011,2025-10-19 12:28:20,ignored,web,
I900037,M700043,C100760,2025-11-05 09:45:39,opened,mobile,
I900038,M700043,C100760,2025-11-05 09:45:39,clicked_link,mobile,shophub-secure-verify.net
I900039,M700045,C100279,2025-12-11 11:24:24,opened,mobile,
I900040,M700045,C100279,2025-12-11 11:28:24,clicked_link,both,support-shophub-check.com
I900041,M700045,C100279,2025-12-11 11:29:24,entered_credentials,mobile,spoof-shophub-login.com
I900042,M700046,C100069,2025-10-25 19:43:58,reported_as_phish,both,
I900043,M700047,C100432,2025-12-11 19:06:13,opened,mobile,legit_shophub.com
I900044,M700048,C100002,2025-11-27 00:19:01,opened,web,
I900045,M700050,C100216,2025-11-06 14:03:50,opened,web,
I900046,M700051,C100287,2025-12-10 01:58:59,ignored,both,
I900047,M700055,C100102,2025-11-14 14:36:08,ignored,mobile,
I900048,M700056,C100541,2025-11-27 16:08:48,opened,mobile,
I900049,M700057,C100999,2025-10-29 00:30:41,opened,web,
I900050,M700058,C100734,2025-10-23 16:12:20,ignored,mobile,
I900051,M700059,C100509,2025-11-28 02:22:28,opened,both,
I900052,M700060,C100351,2025-11-07 07:58:19,opened,mobile,
I900053,M700061,C100403,2025-12-09 15:29:50,ignored,mobile,
I900054,M700063,C100857,2025-11-20 22:16:29,ignored,mobile,
I900055,M700064,C100024,2025-12-14 16:43:13,opened,mobile,
I900056,M700066,C100589,2025-11-30 07:32:56,opened,web,legit_shophub.com
I900057,M700067,C100173,2025-11-05 23:11:03,opened,mobile,
I900058,M700068,C100471,2025-11-28 03:22:45,ignored,mobile,
I900059,M700070,C100390,2025-11-27 09:52:34,ignored,web,
I900060,M700072,C100524,2025-12-01 03:25:56,opened,web,
I900061,M700073,C100805,2025-11-26 13:34:54,ignored,mobile,
I900062,M700074,C100917,2025-11-27 11:51:59,opened,mobile,
I900063,M700074,C100917,2025-11-27 11:53:59,clicked_link,mobile,spoof-shophub-login.com
I900064,M700074,C100917,2025-11-27 11:56:59,entered_credentials,mobile,support-shophub-check.com
I900065,M700075,C100153,2025-11-14 19:18:01,ignored,mobile,
I900066,M700076,C100087,2025-11-26 20:04:43,opened,web,
I900067,M700076,C100087,2025-11-26 20:08:43,clicked_link,mobile,spoof-shophub-login.com
I900068,M700076,C100087,2025-11-26 20:13:43,entered_credentials,both,shophub-secure-verify.net
I900069,M700077,C100169,2025-11-27 00:59:23,opened,mobile,
I900070,M700077,C100169,2025-11-27 01:03:23,clicked_link,mobile,support-shophub-check.com
I900071,M700080,C100932,2025-11-30 09:16:32,opened,mobile,
I900072,M700081,C100272,2025-11-26 11:14:00,reported_as_phish,mobile,
I900073,M700082,C100712,2025-11-13 09:01:14,ignored,web,
I900074,M700083,C100242,2025-11-24 16:32:03,ignored,both,
I900075,M700084,C100085,2025-11-07 06:23:02,ignored,mobile,
I900076,M700085,C100150,2025-12-15 00:33:25,ignored,web,
I900077,M700086,C100013,2025-11-25 05:41:59,opened,mobile,
I900078,M700087,C100705,2025-11-06 11:52:22,opened,mobile,
I900079,M700087,C100705,2025-11-06 11:52:22,reported_as_phish,mobile,
I900080,M700088,C100379,2025-11-24 03:52:34,opened,both,
I900081,M700089,C100030,2025-12-03 00:05:20,opened,web,legit_shophub.com
I900082,M700091,C100544,2025-12-08 15:17:13,reported_as_phish,both,
I900083,M700092,C100539,2025-11-14 08:55:11,opened,mobile,
I900084,M700093,C100663,2025-11-17 23:22:27,reported_as_phish,web,
I900085,M700096,C100344,2025-11-13 04:30:14,opened,web,
I900086,M700099,C100976,2025-11-24 21:42:41,opened,web,
I900087,M700100,C100686,2025-10-27 03:53:14,opened,mobile,
I900088,M700101,C100501,2025-11-28 08:39:16,ignored,both,
I900089,M700103,C100115,2025-11-04 21:54:08,opened,mobile,legit_shophub.com
I900090,M700105,C100154,2025-11-27 18:20:10,opened,both,
I900091,M700105,C100154,2025-11-27 18:21:10,clicked_link,mobile,spoof-shophub-login.com
I900092,M700106,C100827,2025-11-09 18:22:27,opened,mobile,legit_shophub.com
I900093,M700108,C100264,2025-11-03 22:37:52,opened,web,
I900094,M700109,C100420,2025-11-28 05:30:32,opened,mobile,
I900095,M700109,C100420,2025-11-28 05:35:32,clicked_link,mobile,support-shophub-check.com
I900096,M700110,C100340,2025-11-03 21:46:49,opened,mobile,
I900097,M700113,C100699,2025-12-11 09:04:54,opened,mobile,
I900098,M700115,C100677,2025-12-15 10:32:54,opened,mobile,
I900099,M700117,C100940,2025-10-18 23:25:21,ignored,mobile,
I900100,M700119,C100479,2025-11-23 11:50:57,opened,mobile,
I900101,M700119,C100479,2025-11-23 11:54:57,clicked_link,web,spoof-shophub-login.com
I900102,M700120,C100537,2025-11-14 06:09:12,opened,mobile,
I900103,M700123,C100931,2025-12-01 14:58:22,opened,web,
I900104,M700123,C100931,2025-12-01 15:00:22,reported_as_phish,mobile,
I900105,M700124,C100920,2025-11-23 17:02:35,ignored,web,
I900106,M700125,C100755,2025-12-03 12:25:06,opened,mobile,
I900107,M700126,C100229,2025-12-13 19:27:28,ignored,mobile,
I900108,M700127,C100311,2025-11-24 18:49:16,opened,web,
I900109,M700127,C100311,2025-11-24 18:52:16,clicked_link,mobile,spoof-shophub-login.com
I900110,M700127,C100311,2025-11-24 18:56:16,entered_credentials,mobile,spoof-shophub-login.com
I900111,M700128,C100902,2025-11-24 13:45:06,opened,both,
I900112,M700131,C100001,2025-11-03 01:25:10,opened,web,
I900113,M700132,C100396,2025-12-11 08:07:25,opened,mobile,
I900114,M700132,C100396,2025-12-11 08:12:25,clicked_link,web,shophub-secure-verify.net
I900115,M700132,C100396,2025-12-11 08:14:25,entered_credentials,mobile,shophub-secure-verify.net
I900116,M700133,C100944,2025-11-03 01:25:00,opened,web,
I900117,M700134,C100551,2025-11-03 05:46:43,ignored,mobile,
I900118,M700135,C100651,2025-10-26 15:24:23,ignored,mobile,
I900119,M700136,C100514,2025-12-09 10:56:39,ignored,mobile,
I900120,M700137,C100080,2025-11-23 00:57:35,ignored,both,
I900121,M700138,C100419,2025-11-03 03:22:04,ignored,both,
I900122,M700139,C100121,2025-10-25 04:10:28,opened,both,
I900123,M700139,C100121,2025-10-25 04:13:28,clicked_link,both,spoof-shophub-login.com
I900124,M700140,C100817,2025-12-13 14:05:42,ignored,both,
I900125,M700141,C100418,2025-11-29 06:28:30,opened,web,
I900126,M700141,C100418,2025-11-29 06:32:30,clicked_link,both,spoof-shophub-login.com
I900127,M700142,C100252,2025-12-09 12:03:51,opened,web,
I900128,M700142,C100252,2025-12-09 12:04:51,clicked_link,web,spoof-shophub-login.com
I900129,M700143,C100397,2025-12-02 09:16:05,opened,web,
I900130,M700144,C100536,2025-11-11 18:49:23,opened,mobile,legit_shophub.com
I900131,M700145,C100881,2025-11-10 17:22:07,opened,mobile,
I900132,M700146,C100983,2025-12-11 12:30:42,opened,mobile,
I900133,M700146,C100983,2025-12-11 12:32:42,clicked_link,both,support-shophub-check.com
I900134,M700146,C100983,2025-12-11 12:36:42,entered_credentials,mobile,shophub-secure-verify.net
I900135,M700147,C100945,2025-12-05 08:52:59,opened,mobile,
I900136,M700148,C100151,2025-11-16 08:46:38,opened,web,
I900137,M700149,C100006,2025-11-03 23:35:02,reported_as_phish,mobile,
I900138,M700150,C100772,2025-10-18 20:24:54,opened,web,
I900139,M700151,C100844,2025-12-05 17:41:31,reported_as_phish,both,
I900140,M700152,C100718,2025-10-20 10:10:34,opened,mobile,
I900141,M700152,C100718,2025-10-20 10:11:34,reported_as_phish,both,
I900142,M700153,C100807,2025-12-07 12:29:39,ignored,both,
I900143,M700154,C100792,2025-11-27 18:50:01,ignored,web,
I900144,M700156,C100640,2025-11-29 02:03:17,opened,web,
I900145,M700156,C100640,2025-11-29 02:09:17,clicked_link,both,spoof-shophub-login.com
I900146,M700156,C100640,2025-11-29 02:10:17,entered_credentials,web,support-shophub-check.com
I900147,M700157,C100960,2025-11-16 07:45:32,opened,web,
I900148,M700157,C100960,2025-11-16 07:48:32,reported_as_phish,mobile,
I900149,M700158,C100283,2025-11-25 20:41:21,opened,web,
I900150,M700159,C100529,2025-11-28 17:09:19,opened,both,
I900151,M700159,C100529,2025-11-28 17:13:19,clicked_link,mobile,spoof-shophub-login.com
I900152,M700160,C100773,2025-11-12 02:45:21,opened,web,
I900153,M700161,C100070,2025-12-01 15:53:11,opened,both,
I900154,M700162,C100573,2025-10-21 22:32:35,opened,web,
I900155,M700163,C100058,2025-11-21 19:12:47,opened,both,
I900156,M700164,C100885,2025-12-01 04:35:26,opened,both,
I900157,M700164,C100885,2025-12-01 04:36:26,reported_as_phish,mobile,
I900158,M700165,C100249,2025-12-14 23:38:27,opened,mobile,
I900159,M700165,C100249,2025-12-14 23:41:27,reported_as_phish,mobile,
I900160,M700166,C100467,2025-10-30 05:55:15,opened,web,legit_shophub.com
I900161,M700167,C100406,2025-10-21 06:22:44,ignored,web,
I900162,M700168,C100618,2025-11-27 11:10:47,opened,mobile,
I900163,M700168,C100618,2025-11-27 11:15:47,clicked_link,both,spoof-shophub-login.com
I900164,M700169,C100378,2025-11-19 18:30:48,opened,mobile,
I900165,M700169,C100378,2025-11-19 18:36:48,clicked_link,mobile,support-shophub-check.com
I900166,M700170,C100794,2025-11-26 14:55:00,opened,web,
I900167,M700171,C100693,2025-12-09 17:26:33,opened,mobile,
I900168,M700171,C100693,2025-12-09 17:30:33,clicked_link,mobile,support-shophub-check.com
I900169,M700172,C100719,2025-11-27 17:44:33,opened,mobile,
