customer_id,country,device_type,is_prime_member,lifetime_orders,risk_segment,phish_messages,has_phishing_history,interactions_clicked_link,interactions_entered_credentials,interactions_ignored,interactions_opened,interactions_reported_as_phish,suspicious_login_events,suspicious_logins_after_phish,orders_total_value,orders_avg_value,orders_cnt,fraud_orders_after_phish,incident_count,risk_score_raw,risk_score,risk_bucket
C100000,US,mobile,False,33,low,21,True,1,0,10,12,1,0.0,0.0,19.99,19.99,1,0.0,0.0,10.6,26.63316582914573,medium
C100001,UK,web,False,20,low,19,True,1,0,6,13,5,0.0,0.0,9.99,9.99,1,0.0,0.0,9.6,24.12060301507538,medium
C100002,ES,mobile,False,12,low,18,True,1,0,4,16,1,0.0,0.0,12.99,12.99,1,0.0,0.0,9.1,22.864321608040203,medium
C100003,UK,mobile,True,23,medium,20,True,4,0,5,12,1,0.0,0.0,300.96000000000004,75.24000000000001,4,0.0,0.0,10.4,26.13065326633166,medium
C100004,UK,mobile,True,8,low,21,True,2,0,4,16,1,0.0,0.0,112.97,37.656666666666666,3,0.0,0.0,10.8,27.1356783919598,medium
C100005,BR,mobile,False,15,low,15,True,4,1,2,14,0,0.0,0.0,12.99,12.99,1,0.0,0.0,11.6,29.14572864321608,medium
C100006,IN,web,False,12,low,25,True,1,0,10,13,3,0.0,0.0,24.99,24.99,1,0.0,0.0,12.6,31.658291457286435,medium
C100007,IN,web,False,27,medium,20,True,4,0,5,15,1,0.0,0.0,399.94000000000005,66.65666666666668,6,0.0,0.0,10.6,26.63316582914573,medium
C100008,DE,web,False,1,low,16,True,2,0,6,10,0,0.0,0.0,249.99,249.99,1,0.0,0.0,8.1,20.35175879396985,medium
C100009,AU,mobile,True,59,medium,25,True,4,0,5,23,0,0.0,0.0,483.97,120.9925,4,0.0,0.0,12.9,32.41206030150754,medium
C100010,DE,web,True,54,medium,24,True,4,0,6,14,3,0.0,0.0,124.97,41.656666666666666,3,0.0,0.0,12.3,30.90452261306533,medium
C100011,UK,both,False,29,medium,23,True,3,1,6,19,3,0.0,0.0,80.95,16.19,5,0.0,0.0,16.0,40.20100502512563,high
C100012,FR,mobile,False,42,medium,20,True,4,1,8,15,0,1.0,1.0,309.97,103.32333333333334,3,0.0,1.0,23.8,59.798994974874375,high
C100013,UK,mobile,True,69,high,25,True,4,0,7,20,2,0.0,0.0,62.97,20.99,3,0.0,1.0,17.8,44.72361809045226,high
C100014,CA,both,True,9,low,22,True,7,1,5,18,2,0.0,0.0,37.98,18.99,2,0.0,0.0,15.2,38.19095477386935,medium
C100015,IN,mobile,True,7,low,19,True,3,0,2,15,2,0.0,0.0,279.98,139.99,2,0.0,0.0,9.7,24.371859296482413,medium
C100016,FR,both,True,35,medium,15,True,3,2,4,10,2,1.0,1.0,2827.98,706.995,4,2.0,3.0,39.4,98.99497487437186,critical
C100017,US,both,True,8,medium,14,True,3,2,1,12,3,1.0,1.0,174.98000000000002,87.49000000000001,2,0.0,1.0,24.7,62.060301507537694,high
C100018,UK,mobile,True,44,medium,15,True,4,0,1,13,1,0.0,0.0,119.98,59.989999999999995,2,0.0,0.0,7.7,19.34673366834171,low
C100019,US,both,False,6,low,16,True,1,0,3,9,3,0.0,0.0,199.97,66.65666666666667,3,0.0,0.0,8.3,20.854271356783922,medium
C100020,UK,mobile,True,55,medium,21,True,3,1,3,14,2,0.0,0.0,34.98,17.49,2,0.0,0.0,14.7,36.934673366834176,medium
