customer_id,signup_date,country,device_type,is_prime_member,lifetime_orders,risk_segment
C1001,2024-02-01,US,mobile,False,7,low
C1002,2023-05-22,IN,mobile,False,15,medium
C1003,2024-04-30,UK,mobile,False,4,low
C1004,2022-04-20,US,both,False,11,low
C1005,2023-09-03,BR,mobile,True,12,low
C1006,2025-05-10,BR,web,False,5,low
C1007,2022-08-24,US,mobile,False,18,medium
C1008,2022-07-19,US,mobile,True,24,medium
C1009,2024-12-22,UK,both,True,7,low
C1010,2025-02-09,BR,mobile,False,6,low
C1011,2025-10-17,BR,mobile,True,5,low
C1012,2021-08-05,BR,web,True,36,medium
C1013,2021-01-15,UK,web,True,38,medium
C1014,2023-12-23,BR,web,False,9,low
C1015,2023-12-08,US,mobile,True,19,medium
C1016,2022-11-15,DE,web,False,18,medium
C1017,2022-09-05,IN,mobile,False,18,medium
C1018,2022-05-18,UK,web,False,15,medium
C1019,2023-11-05,US,mobile,True,17,medium
C1020,2023-05-14,DE,mobile,False,9,low
C1021,2025-10-24,IN,web,True,3,low
C1022,2022-06-09,BR,web,True,25,medium
C1023,2022-08-01,US,both,False,12,low
C1024,2023-03-07,DE,both,False,12,low
C1025,2024-10-03,US,web,True,4,low
