login_id,customer_id,login_ts,channel,ip_country,is_success,is_unusual_device,is_unusual_location,is_flagged_suspicious
L500000,C100000,2025-11-03 19:23:53,api,US,True,False,False,False
L500001,C100000,2025-11-13 12:44:28,web,US,True,False,False,False
L500002,C100000,2025-11-14 17:27:58,web,US,True,False,False,False
L500003,C100000,2025-10-15 06:23:23,mobile,US,True,False,False,False
L500004,C100000,2025-11-23 21:45:57,mobile,US,True,False,False,False
L500005,C100000,2025-12-03 15:01:16,web,US,True,False,False,False
L500006,C100001,2025-12-06 19:00:11,web,UK,True,False,False,False
L500007,C100001,2025-11-24 15:52:29,mobile,UK,True,False,False,False
L500008,C100001,2025-12-02 17:50:27,web,UK,True,False,False,False
L500009,C100001,2025-11-25 14:59:56,web,UK,True,False,False,False
L500010,C100001,2025-11-27 21:12:17,web,UK,True,False,False,False
L500011,C100001,2025-12-08 13:46:58,web,UK,True,False,False,False
L500012,C100002,2025-11-14 08:43:57,mobile,ES,True,False,False,False
L500013,C100002,2025-10-18 16:41:27,mobile,ES,True,False,False,False
L500014,C100003,2025-10-27 13:39:59,web,UK,True,False,False,False
L500015,C100003,2025-12-15 18:53:27,web,UK,True,False,False,False
L500016,C100004,2025-12-08 19:17:28,mobile,UK,True,False,False,False
L500017,C100004,2025-11-24 08:42:20,web,UK,True,False,False,False
L500018,C100005,2025-10-27 07:14:01,mobile,BR,True,False,False,False
L500019,C100005,2025-12-10 16:26:13,mobile,BR,True,False,False,False
L500020,C100005,2025-11-23 16:50:12,web,BR,True,False,False,False
L500021,C100005,2025-12-04 14:57:17,mobile,BR,True,False,False,False
L500022,C100005,2025-11-09 15:59:30,mobile,BR,True,False,False,False
L500023,C100006,2025-11-17 14:53:23,web,IN,True,False,False,False
L500024,C100006,2025-12-08 15:58:11,mobile,IN,True,False,False,False
L500025,C100006,2025-11-12 22:58:46,web,IN,True,False,False,False
L500026,C100006,2025-10-17 13:27:06,web,IN,True,False,False,False
L500027,C100007,2025-11-27 17:54:25,mobile,IN,True,False,False,False
L500028,C100007,2025-11-19 13:17:32,web,IN,True,False,False,False
L500029,C100007,2025-12-09 18:15:22,web,IN,True,False,False,False
L500030,C100007,2025-11-13 09:23:26,web,IN,True,False,False,False
L500031,C100007,2025-10-20 18:12:48,mobile,IN,True,False,False,False
L500032,C100007,2025-12-14 08:19:23,web,IN,True,False,False,False
L500033,C100008,2025-12-03 17:59:52,web,DE,True,False,False,False
L500034,C100008,2025-11-06 09:40:09,web,DE,True,False,False,False
L500035,C100008,2025-11-17 11:56:12,web,DE,True,False,False,False
L500036,C100009,2025-12-06 12:20:34,mobile,AU,True,False,False,False
L500037,C100009,2025-11-04 07:04:19,mobile,AU,True,False,False,False
L500038,C100009,2025-10-29 18:08:36,web,AU,True,False,False,False
L500039,C100010,2025-11-06 14:21:07,web,DE,True,False,False,False
L500040,C100010,2025-11-16 15:56:17,mobile,DE,True,False,False,False
L500041,C100010,2025-10-21 22:56:44,api,DE,True,False,False,False
L500042,C100010,2025-11-18 11:41:23,web,DE,True,False,False,False
L500043,C100010,2025-12-09 15:19:15,mobile,DE,True,False,False,False
L500044,C100011,2025-12-01 14:36:12,web,UK,True,False,False,False
L500045,C100011,2025-12-13 10:41:22,api,UK,True,False,False,False
L500046,C100012,2025-12-07 10:44:31,web,FR,True,False,False,False
L500047,C100012,2025-12-01 09:30:19,mobile,FR,True,False,False,False
L500048,C100012,2025-10-16 21:24:49,web,FR,True,False,False,False
L500049,C100012,2025-10-21 08:51:49,mobile,FR,True,False,False,False
L500050,C100013,2025-11-15 14:25:30,web,UK,True,False,False,False
L500051,C100013,2025-12-09 15:48:04,mobile,UK,True,False,False,False
L500052,C100013,2025-11-08 20:26:21,web,UK,True,False,False,False
L500053,C100013,2025-12-13 19:40:17,mobile,UK,True,False,False,False
L500054,C100013,2025-12-03 16:05:12,mobile,UK,True,False,False,False
L500055,C100014,2025-11-15 13:51:31,web,CA,True,False,False,False
L500056,C100014,2025-12-05 22:15:09,mobile,CA,True,False,False,False
L500057,C100015,2025-12-12 06:44:25,mobile,IN,True,False,False,False
L500058,C100015,2025-12-11 20:25:37,mobile,IN,True,False,False,False
L500059,C100015,2025-10-30 08:10:31,web,IN,True,False,False,False
L500060,C100015,2025-10-29 22:20:28,web,IN,True,False,False,False
L500061,C100015,2025-11-10 19:08:43,api,IN,True,False,False,False
L500062,C100015,2025-10-28 09:31:08,mobile,IN,True,False,False,False
L500063,C100016,2025-11-30 08:39:43,web,FR,True,False,False,False
L500064,C100016,2025-12-04 13:37:46,web,FR,True,False,False,False
L500065,C100017,2025-11-23 09:57:52,mobile,US,True,False,False,False
L500066,C100017,2025-12-07 18:56:57,mobile,US,True,False,False,False
L500067,C100017,2025-11-07 22:10:03,web,US,True,False,False,False
L500068,C100018,2025-11-20 22:35:56,web,UK,True,False,False,False
L500069,C100018,2025-11-28 08:16:56,mobile,UK,True,False,False,False
L500070,C100018,2025-11-24 21:26:51,web,UK,True,False,False,False
