incident_id,customer_id,incident_ts,incident_type,root_cause,estimated_loss_usd
SI900000,C100917,2025-11-27 13:43:59,account_takeover,phishing,0.0
SI900001,C100087,2025-11-26 21:40:43,account_takeover,phishing,0.0
SI900002,C100311,2025-11-24 20:00:16,account_takeover,phishing,0.0
SI900003,C100396,2025-12-11 08:57:25,account_takeover,phishing,0.0
SI900004,C100983,2025-12-11 14:57:42,account_takeover,phishing,0.0
SI900005,C100640,2025-11-29 04:17:17,account_takeover,phishing,0.0
SI900006,C100519,2025-11-17 19:53:22,account_takeover,phishing,0.0
SI900007,C100929,2025-10-23 00:44:06,account_takeover,phishing,0.0
SI900008,C100510,2025-11-25 02:25:27,account_takeover,phishing,0.0
SI900009,C100888,2025-10-28 08:35:43,account_takeover,phishing,0.0
SI900010,C100169,2025-10-27 22:00:44,account_takeover,phishing,0.0
SI900011,C100066,2025-11-30 03:57:28,account_takeover,phishing,0.0
SI900012,C100599,2025-11-22 03:45:48,account_takeover,phishing,0.0
SI900013,C100236,2025-12-10 15:04:50,account_takeover,phishing,0.0
SI900014,C100586,2025-10-18 01:39:21,account_takeover,phishing,0.0
SI900015,C100204,2025-11-28 02:54:52,account_takeover,phishing,0.0
SI900016,C100892,2025-11-11 04:28:34,account_takeover,phishing,0.0
SI900017,C100708,2025-11-28 09:49:03,account_takeover,phishing,0.0
SI900018,C100437,2025-11-26 03:02:29,account_takeover,phishing,0.0
SI900019,C100270,2025-11-28 12:33:35,account_takeover,phishing,0.0
SI900020,C100639,2025-11-26 18:55:47,account_takeover,phishing,0.0
SI900021,C100274,2025-11-05 05:30:50,account_takeover,phishing,0.0
SI900022,C100950,2025-11-16 13:48:35,account_takeover,phishing,0.0
SI900023,C100277,2025-11-26 20:16:09,account_takeover,phishing,0.0
SI900024,C100957,2025-11-06 21:37:07,account_takeover,phishing,0.0
SI900025,C100910,2025-11-26 19:46:52,account_takeover,phishing,0.0
SI900026,C100786,2025-11-25 10:14:17,account_takeover,phishing,0.0
SI900027,C100736,2025-11-29 12:20:09,account_takeover,phishing,0.0
SI900028,C100859,2025-11-05 01:25:53,account_takeover,phishing,0.0
SI900029,C100175,2025-12-10 06:28:32,account_takeover,phishing,0.0
SI900030,C100306,2025-12-02 04:14:14,account_takeover,phishing,0.0
SI900031,C100022,2025-12-10 06:52:41,account_takeover,phishing,0.0
SI900032,C100017,2025-11-26 13:33:42,account_takeover,phishing,0.0
SI900033,C100494,2025-11-29 03:04:48,account_takeover,phishing,0.0
SI900034,C100089,2025-11-25 14:35:59,account_takeover,phishing,0.0
SI900035,C100499,2025-11-14 12:47:00,account_takeover,phishing,0.0
SI900036,C100085,2025-10-30 10:27:36,account_takeover,phishing,0.0
SI900037,C100159,2025-11-26 06:05:13,account_takeover,phishing,0.0
SI900038,C100488,2025-12-13 01:33:42,account_takeover,phishing,0.0
SI900039,C100507,2025-12-07 16:43:54,account_takeover,phishing,0.0
SI900040,C100565,2025-11-24 06:32:36,account_takeover,phishing,0.0
SI900041,C100672,2025-12-12 07:42:51,account_takeover,phishing,0.0
SI900042,C100537,2025-11-03 03:30:57,account_takeover,phishing,0.0
SI900043,C100962,2025-11-27 08:34:01,account_takeover,phishing,0.0
SI900044,C100445,2025-11-25 10:01:07,account_takeover,phishing,0.0
SI900045,C100135,2025-11-28 17:39:04,account_takeover,phishing,0.0
SI900046,C100058,2025-11-15 12:19:51,account_takeover,phishing,0.0
SI900047,C100504,2025-10-22 17:06:48,account_takeover,phishing,0.0
SI900048,C100999,2025-11-27 17:37:34,account_takeover,phishing,0.0
SI900049,C100809,2025-11-24 10:20:57,account_takeover,phishing,0.0
SI900050,C100030,2025-11-24 17:09:10,account_takeover,phishing,0.0
SI900051,C100115,2025-11-25 16:23:00,account_takeover,phishing,0.0
SI900052,C100336,2025-11-27 22:51:50,account_takeover,phishing,0.0
SI900053,C100560,2025-12-07 13:20:09,account_takeover,phishing,0.0
SI900054,C100732,2025-11-28 22:46:47,account_takeover,phishing,0.0
SI900055,C100257,2025-11-30 01:28:39,account_takeover,phishing,0.0
SI900056,C100199,2025-12-13 07:32:28,account_takeover,phishing,0.0
SI900057,C100221,2025-12-10 10:55:00,account_takeover,phishing,0.0
SI900058,C100916,2025-11-23 18:53:02,account_takeover,phishing,0.0
SI900059,C100852,2025-11-02 21:01:00,account_takeover,phishing,0.0
SI900060,C100237,2025-12-11 10:24:47,account_takeover,phishing,0.0
SI900061,C100235,2025-11-04 02:42:16,account_takeover,phishing,0.0
SI900062,C100602,2025-10-18 13:52:30,account_takeover,phishing,0.0
SI900063,C100936,2025-11-04 09:47:05,account_takeover,phishing,0.0
SI900064,C100470,2025-11-02 00:00:48,account_takeover,phishing,0.0
SI900065,C100189,2025-12-11 17:11:19,account_takeover,phishing,0.0
